# train_accs, valid_accs, test_accs, fidelity
7.083333134651184082e-01 6.875000000000000000e-01 7.083333134651184082e-01 5.734461094295945083e-01
9.750000238418579102e-01 9.375000000000000000e-01 8.125000000000000000e-01 8.861036864915857736e-01
9.666666388511657715e-01 9.375000000000000000e-01 9.166666865348815918e-01 8.321761648494339081e-01
9.750000238418579102e-01 9.687500000000000000e-01 9.375000000000000000e-01 8.384538856443843891e-01
9.833333492279052734e-01 8.750000000000000000e-01 9.166666865348815918e-01 8.345998040494847503e-01
8.750000000000000000e-01 9.062500000000000000e-01 8.541666865348815918e-01 8.172132901325631638e-01
9.583333134651184082e-01 8.750000000000000000e-01 9.375000000000000000e-01 8.918511070153732900e-01
9.416666626930236816e-01 8.437500000000000000e-01 9.583333134651184082e-01 7.641292700740904831e-01
8.999999761581420898e-01 9.062500000000000000e-01 8.333333134651184082e-01 8.904034021597850845e-01
9.083333611488342285e-01 6.875000000000000000e-01 8.333333134651184082e-01 8.045366727518358241e-01
9.833333492279052734e-01 8.750000000000000000e-01 7.708333134651184082e-01 6.855542656963045101e-01
9.499999880790710449e-01 9.062500000000000000e-01 9.583333134651184082e-01 8.951301683769099515e-01
9.750000238418579102e-01 8.437500000000000000e-01 9.375000000000000000e-01 9.021388185385945668e-01
9.666666388511657715e-01 8.750000000000000000e-01 9.375000000000000000e-01 9.138510911617511168e-01
9.666666388511657715e-01 8.437500000000000000e-01 9.166666865348815918e-01 6.030257455521461640e-01
9.250000119209289551e-01 8.750000000000000000e-01 7.916666865348815918e-01 7.676995136879672943e-01
9.833333492279052734e-01 8.125000000000000000e-01 8.750000000000000000e-01 8.629648760461426926e-01
9.750000238418579102e-01 9.062500000000000000e-01 8.958333134651184082e-01 8.393174003297545482e-01
1.000000000000000000e+00 9.062500000000000000e-01 8.958333134651184082e-01 8.627813824384947816e-01
9.916666746139526367e-01 9.375000000000000000e-01 8.541666865348815918e-01 7.967866813063988474e-01
9.750000238418579102e-01 9.062500000000000000e-01 8.541666865348815918e-01 6.313008946872002980e-01
9.833333492279052734e-01 8.437500000000000000e-01 9.166666865348815918e-01 7.786546791253090571e-01
9.666666388511657715e-01 9.062500000000000000e-01 8.750000000000000000e-01 6.727478137680498183e-01
9.666666388511657715e-01 8.125000000000000000e-01 8.750000000000000000e-01 8.046840979751914702e-01
9.250000119209289551e-01 8.437500000000000000e-01 8.125000000000000000e-01 8.236030589097802501e-01
9.833333492279052734e-01 8.750000000000000000e-01 8.750000000000000000e-01 8.660535262712101279e-01
9.583333134651184082e-01 7.187500000000000000e-01 9.166666865348815918e-01 9.009315683355557658e-01
9.250000119209289551e-01 8.750000000000000000e-01 7.916666865348815918e-01 8.966652045506435798e-01
9.750000238418579102e-01 8.437500000000000000e-01 7.916666865348815918e-01 6.327962397963811103e-01
9.750000238418579102e-01 9.062500000000000000e-01 9.166666865348815918e-01 7.991529008397653122e-01
9.833333492279052734e-01 8.750000000000000000e-01 8.333333134651184082e-01 6.419419434911532996e-01
9.666666388511657715e-01 8.750000000000000000e-01 9.166666865348815918e-01 8.207727492549758974e-01
9.166666865348815918e-01 9.687500000000000000e-01 8.125000000000000000e-01 4.260409293061571123e-01
9.833333492279052734e-01 9.687500000000000000e-01 8.541666865348815918e-01 7.737344842816856749e-01
9.750000238418579102e-01 9.062500000000000000e-01 7.916666865348815918e-01 8.891291870267825637e-01
9.833333492279052734e-01 9.375000000000000000e-01 9.166666865348815918e-01 8.326780883840432246e-01
9.750000238418579102e-01 8.437500000000000000e-01 9.375000000000000000e-01 8.834127720047351140e-01
9.916666746139526367e-01 8.750000000000000000e-01 8.125000000000000000e-01 6.945154724955646675e-01
7.749999761581420898e-01 8.125000000000000000e-01 8.125000000000000000e-01 8.717489990768083619e-01
9.666666388511657715e-01 7.812500000000000000e-01 8.125000000000000000e-01 8.454718614912697383e-01
8.750000000000000000e-01 7.812500000000000000e-01 8.541666865348815918e-01 7.827241950283974070e-01
9.833333492279052734e-01 9.375000000000000000e-01 8.541666865348815918e-01 7.516287235599837802e-01
9.250000119209289551e-01 8.125000000000000000e-01 8.541666865348815918e-01 8.796626770874979018e-01
9.750000238418579102e-01 9.062500000000000000e-01 8.750000000000000000e-01 7.994586980037465818e-01
9.499999880790710449e-01 8.750000000000000000e-01 8.333333134651184082e-01 9.209862314368318925e-01
9.083333611488342285e-01 8.750000000000000000e-01 7.916666865348815918e-01 8.718978722855209584e-01
9.916666746139526367e-01 9.375000000000000000e-01 8.750000000000000000e-01 7.615557534166150777e-01
9.499999880790710449e-01 8.125000000000000000e-01 7.916666865348815918e-01 8.036774321368915786e-01
9.833333492279052734e-01 8.437500000000000000e-01 8.541666865348815918e-01 8.448314951025557296e-01
9.750000238418579102e-01 8.437500000000000000e-01 8.541666865348815918e-01 8.764798684576087240e-01
8.500000238418579102e-01 7.187500000000000000e-01 7.291666865348815918e-01 7.684255454031410082e-01
9.833333492279052734e-01 8.750000000000000000e-01 8.125000000000000000e-01 8.107774578152070477e-01
9.750000238418579102e-01 7.500000000000000000e-01 8.750000000000000000e-01 9.236927757301944819e-01
9.250000119209289551e-01 7.812500000000000000e-01 8.750000000000000000e-01 8.626826982230312302e-01
9.333333373069763184e-01 9.062500000000000000e-01 9.583333134651184082e-01 7.701536385900125126e-01
9.166666865348815918e-01 8.750000000000000000e-01 8.333333134651184082e-01 8.857804375822401211e-01
9.583333134651184082e-01 8.750000000000000000e-01 9.166666865348815918e-01 8.959338198221747929e-01
9.750000238418579102e-01 9.375000000000000000e-01 9.583333134651184082e-01 7.829884212832465273e-01
9.750000238418579102e-01 9.062500000000000000e-01 8.958333134651184082e-01 8.743017799155843317e-01
9.499999880790710449e-01 9.687500000000000000e-01 9.166666865348815918e-01 8.625929130117080401e-01
8.833333253860473633e-01 6.875000000000000000e-01 8.750000000000000000e-01 8.225920991318275144e-01
9.750000238418579102e-01 8.437500000000000000e-01 8.958333134651184082e-01 8.811788152735048341e-01
9.499999880790710449e-01 8.437500000000000000e-01 8.541666865348815918e-01 8.624463098471392142e-01
9.583333134651184082e-01 7.812500000000000000e-01 9.166666865348815918e-01 8.581335379607031300e-01
9.666666388511657715e-01 9.062500000000000000e-01 8.750000000000000000e-01 8.478891623527786692e-01
9.583333134651184082e-01 8.437500000000000000e-01 8.541666865348815918e-01 8.044634245602988454e-01
9.499999880790710449e-01 9.375000000000000000e-01 8.541666865348815918e-01 8.757407856840142557e-01
9.416666626930236816e-01 8.750000000000000000e-01 9.166666865348815918e-01 7.061072654741089583e-01
9.666666388511657715e-01 9.375000000000000000e-01 8.958333134651184082e-01 7.978277084599779689e-01
9.499999880790710449e-01 7.812500000000000000e-01 8.333333134651184082e-01 8.672291870948540815e-01
9.833333492279052734e-01 8.750000000000000000e-01 8.750000000000000000e-01 8.780510632745540667e-01
9.750000238418579102e-01 9.062500000000000000e-01 8.958333134651184082e-01 8.850994655622121954e-01
9.499999880790710449e-01 8.750000000000000000e-01 8.541666865348815918e-01 8.526688495498182530e-01
9.750000238418579102e-01 8.437500000000000000e-01 9.166666865348815918e-01 8.123813097272345463e-01
9.333333373069763184e-01 7.500000000000000000e-01 8.541666865348815918e-01 8.658418577420089468e-01
9.916666746139526367e-01 9.687500000000000000e-01 9.166666865348815918e-01 7.070540640580760261e-01
8.666666746139526367e-01 6.562500000000000000e-01 8.541666865348815918e-01 9.365670150488711876e-01
9.250000119209289551e-01 8.125000000000000000e-01 9.375000000000000000e-01 9.171006268579374732e-01
9.166666865348815918e-01 9.062500000000000000e-01 8.750000000000000000e-01 8.472708673366124987e-01
9.750000238418579102e-01 8.750000000000000000e-01 8.750000000000000000e-01 8.296203072217701591e-01
9.750000238418579102e-01 9.062500000000000000e-01 8.541666865348815918e-01 8.211777350673474807e-01
9.750000238418579102e-01 8.437500000000000000e-01 8.750000000000000000e-01 8.404506978436393494e-01
9.583333134651184082e-01 8.750000000000000000e-01 8.958333134651184082e-01 8.749419542115849380e-01
9.833333492279052734e-01 9.687500000000000000e-01 9.166666865348815918e-01 6.808765298137495758e-01
9.583333134651184082e-01 8.750000000000000000e-01 7.500000000000000000e-01 8.812099376368435211e-01
9.833333492279052734e-01 9.062500000000000000e-01 8.958333134651184082e-01 8.221806249796443922e-01
9.750000238418579102e-01 9.375000000000000000e-01 8.541666865348815918e-01 8.088800980975413557e-01
9.333333373069763184e-01 8.125000000000000000e-01 8.958333134651184082e-01 8.813910851160700055e-01
8.999999761581420898e-01 8.125000000000000000e-01 8.750000000000000000e-01 8.673772344652470601e-01
9.750000238418579102e-01 9.687500000000000000e-01 8.958333134651184082e-01 8.545660674162003367e-01
9.666666388511657715e-01 8.750000000000000000e-01 9.375000000000000000e-01 8.063077172212762544e-01
9.583333134651184082e-01 9.375000000000000000e-01 8.541666865348815918e-01 8.628882362869507716e-01
9.333333373069763184e-01 7.500000000000000000e-01 8.750000000000000000e-01 8.070410574114529334e-01
9.833333492279052734e-01 9.062500000000000000e-01 9.375000000000000000e-01 8.742294794126271862e-01
9.750000238418579102e-01 8.437500000000000000e-01 9.166666865348815918e-01 8.362537499466011770e-01
8.249999880790710449e-01 8.125000000000000000e-01 8.125000000000000000e-01 8.280185160439949010e-01
4.833333194255828857e-01 4.687500000000000000e-01 4.583333432674407959e-01 8.883348882317818607e-01
9.666666388511657715e-01 9.375000000000000000e-01 8.750000000000000000e-01 5.689968738331789844e-01
9.833333492279052734e-01 9.687500000000000000e-01 8.750000000000000000e-01 8.426698521303346290e-01
8.833333253860473633e-01 8.437500000000000000e-01 8.333333134651184082e-01 8.825984278580811804e-01
