# train_accs, valid_accs, test_accs, fidelity
1.000000000000000000e+00 1.000000000000000000e+00 9.583333134651184082e-01 7.018500394983339108e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.287156099073333060e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.542498608505140423e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.633799388969031430e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.425424200622211091e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 7.676178383205549682e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.407018748435532984e-01
9.916666746139526367e-01 1.000000000000000000e+00 1.000000000000000000e+00 6.818041813937316675e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.947192569242344184e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.018463280084918932e-01
8.000000119209289551e-01 7.500000000000000000e-01 7.291666865348815918e-01 7.678419213901324092e-01
6.083333492279052734e-01 5.312500000000000000e-01 6.250000000000000000e-01 6.446168677918607814e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.910150458026440567e-01
7.250000238418579102e-01 6.875000000000000000e-01 6.250000000000000000e-01 8.419105545684610892e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.413288013186711822e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 7.598111325062788524e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 6.846664214898933176e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.586945148358402058e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.996948865341359403e-01
8.166666626930236816e-01 7.500000000000000000e-01 7.708333134651184082e-01 6.661283802321458225e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 8.403203622792100314e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 6.229116691654378313e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.890878382729451523e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.017087378195329350e-01
9.833333492279052734e-01 9.375000000000000000e-01 9.791666865348815918e-01 7.445406611203009284e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.118145822080728102e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.948919258613028616e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.928318527070821187e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.892405325839565444e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.870361027216131733e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.426286268672702917e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.438711721523603160e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 6.591279267310059531e-01
9.333333373069763184e-01 9.687500000000000000e-01 9.166666865348815918e-01 7.199761888969182788e-01
9.416666626930236816e-01 1.000000000000000000e+00 9.375000000000000000e-01 7.459412694767137975e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.505477758050631776e-01
9.833333492279052734e-01 9.687500000000000000e-01 1.000000000000000000e+00 6.706354257024933485e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.641045302693560970e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.808558858138928693e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.611839462292030678e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.924637417197672562e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 7.031602557347275129e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.958842560740847505e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.835811449494201053e-01
9.916666746139526367e-01 1.000000000000000000e+00 9.791666865348815918e-01 7.575762110384811621e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.543171579183288955e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.334681223625814539e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.547097329521265330e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.198631702968920631e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 7.794269444534959179e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.476331882460606204e-01
5.333333611488342285e-01 5.625000000000000000e-01 5.625000000000000000e-01 9.656569394943620432e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.361553031754738186e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.583333134651184082e-01 7.001456274629208609e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.014773173317458088e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.963396454548964609e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 6.628050484488379190e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.190085331662187107e-01
1.000000000000000000e+00 9.375000000000000000e-01 1.000000000000000000e+00 7.882801196978613811e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.748736353632789342e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.367110409939623406e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.581157370324872691e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.398510896286176974e-01
9.750000238418579102e-01 9.062500000000000000e-01 9.791666865348815918e-01 7.555187580113361667e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.807877719568216079e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.741019225612451038e-01
5.749999880790710449e-01 5.625000000000000000e-01 5.416666865348815918e-01 9.410175292332071395e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.173295689063989844e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.224568774690173445e-01
9.666666388511657715e-01 9.375000000000000000e-01 8.958333134651184082e-01 8.163135188219716731e-01
9.083333611488342285e-01 7.812500000000000000e-01 8.750000000000000000e-01 7.501103199941858701e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 7.082706656973107862e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 6.495037019773074460e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.208044215263034182e-01
5.749999880790710449e-01 5.312500000000000000e-01 6.041666865348815918e-01 9.591959855973143378e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.471056325869860348e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.173507774664341419e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 5.554288535078496514e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.182323131305047070e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.707893873896773052e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.685165300878780137e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.838626898455897329e-01
6.166666746139526367e-01 6.562500000000000000e-01 6.041666865348815918e-01 7.768563262601395625e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.001314084957044326e-01
9.250000119209289551e-01 8.750000000000000000e-01 9.583333134651184082e-01 7.607942375995744300e-01
5.749999880790710449e-01 5.937500000000000000e-01 6.458333134651184082e-01 8.542873693425929726e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 8.114505646204297484e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.746853447543811111e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.025908014244756306e-01
5.583333373069763184e-01 5.000000000000000000e-01 5.416666865348815918e-01 8.389131443644358699e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.604576014726611710e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.526771119796170417e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.418824259192933201e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 8.457825829371705684e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 6.628591422896232821e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.739053119642775869e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.542393091292551865e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.799279488667222315e-01
9.916666746139526367e-01 9.375000000000000000e-01 9.583333134651184082e-01 8.148214169896753623e-01
8.500000238418579102e-01 9.062500000000000000e-01 9.166666865348815918e-01 5.617798168923906488e-01
