# train_accs, valid_accs, test_accs, fidelity
8.750000000000000000e-01 8.750000000000000000e-01 8.541666865348815918e-01 5.707952567875024252e-01
9.083333611488342285e-01 7.812500000000000000e-01 7.916666865348815918e-01 8.587765443941771659e-01
9.750000238418579102e-01 9.062500000000000000e-01 8.750000000000000000e-01 7.608706335708201873e-01
9.750000238418579102e-01 9.375000000000000000e-01 9.583333134651184082e-01 7.871450569031771538e-01
9.750000238418579102e-01 8.437500000000000000e-01 8.958333134651184082e-01 6.636785305166763571e-01
9.916666746139526367e-01 9.375000000000000000e-01 8.541666865348815918e-01 6.371724840875837570e-01
9.666666388511657715e-01 8.750000000000000000e-01 9.583333134651184082e-01 7.026023772985952043e-01
1.000000000000000000e+00 8.437500000000000000e-01 9.583333134651184082e-01 7.190064613095472623e-01
9.583333134651184082e-01 9.375000000000000000e-01 8.541666865348815918e-01 8.835194937064819731e-01
9.499999880790710449e-01 7.500000000000000000e-01 8.333333134651184082e-01 5.246540204459060330e-01
9.750000238418579102e-01 8.750000000000000000e-01 8.125000000000000000e-01 7.665912354052010214e-01
9.416666626930236816e-01 9.062500000000000000e-01 9.375000000000000000e-01 5.784217718272752773e-01
8.000000119209289551e-01 8.125000000000000000e-01 8.541666865348815918e-01 7.202866855712251049e-01
9.750000238418579102e-01 8.437500000000000000e-01 9.166666865348815918e-01 7.807641547578803021e-01
9.666666388511657715e-01 8.125000000000000000e-01 8.958333134651184082e-01 5.212364508433922072e-01
9.333333373069763184e-01 8.750000000000000000e-01 8.541666865348815918e-01 7.858419933017584125e-01
9.416666626930236816e-01 9.062500000000000000e-01 8.541666865348815918e-01 8.654987562435976223e-01
8.500000238418579102e-01 8.125000000000000000e-01 8.333333134651184082e-01 5.445334604696234759e-01
8.083333373069763184e-01 7.500000000000000000e-01 8.125000000000000000e-01 8.470174345731329435e-01
9.666666388511657715e-01 8.750000000000000000e-01 8.541666865348815918e-01 7.650890179008367209e-01
9.833333492279052734e-01 9.375000000000000000e-01 8.958333134651184082e-01 6.929136147645876820e-01
8.249999880790710449e-01 6.250000000000000000e-01 7.291666865348815918e-01 7.576987794412972654e-01
9.833333492279052734e-01 9.062500000000000000e-01 8.750000000000000000e-01 8.163433029249156370e-01
9.666666388511657715e-01 8.125000000000000000e-01 8.750000000000000000e-01 8.349355439312600158e-01
9.250000119209289551e-01 8.437500000000000000e-01 8.958333134651184082e-01 6.205356644329178550e-01
9.083333611488342285e-01 7.812500000000000000e-01 8.125000000000000000e-01 7.924501808360622235e-01
9.499999880790710449e-01 7.500000000000000000e-01 8.958333134651184082e-01 6.256034244357868701e-01
9.666666388511657715e-01 9.375000000000000000e-01 7.916666865348815918e-01 8.148034354239375165e-01
9.833333492279052734e-01 8.750000000000000000e-01 8.750000000000000000e-01 7.593251250963448662e-01
6.999999880790710449e-01 6.250000000000000000e-01 7.083333134651184082e-01 6.325069814771058230e-01
8.249999880790710449e-01 6.875000000000000000e-01 7.291666865348815918e-01 7.775481924531383315e-01
8.999999761581420898e-01 8.437500000000000000e-01 7.916666865348815918e-01 7.117909173644378917e-01
6.916666626930236816e-01 8.125000000000000000e-01 6.875000000000000000e-01 8.046925931081995165e-01
9.666666388511657715e-01 9.687500000000000000e-01 8.333333134651184082e-01 7.904599838555375069e-01
9.833333492279052734e-01 9.375000000000000000e-01 7.708333134651184082e-01 7.559400969899413569e-01
9.166666865348815918e-01 9.375000000000000000e-01 8.125000000000000000e-01 6.318708429808748139e-01
9.750000238418579102e-01 8.750000000000000000e-01 9.375000000000000000e-01 6.478068208247260706e-01
9.250000119209289551e-01 8.125000000000000000e-01 7.916666865348815918e-01 6.646821149257388095e-01
8.999999761581420898e-01 7.812500000000000000e-01 8.958333134651184082e-01 7.302894323340786142e-01
9.250000119209289551e-01 8.125000000000000000e-01 7.708333134651184082e-01 5.654619450104733103e-01
9.583333134651184082e-01 8.437500000000000000e-01 8.750000000000000000e-01 8.890965726918160783e-01
9.916666746139526367e-01 9.062500000000000000e-01 8.750000000000000000e-01 3.384903927743313501e-01
1.000000000000000000e+00 8.437500000000000000e-01 9.375000000000000000e-01 7.915783851188724629e-01
9.750000238418579102e-01 7.812500000000000000e-01 8.541666865348815918e-01 7.017150051799656563e-01
9.833333492279052734e-01 9.062500000000000000e-01 8.750000000000000000e-01 8.033640153668707429e-01
9.916666746139526367e-01 8.750000000000000000e-01 8.750000000000000000e-01 7.842703750650591443e-01
9.833333492279052734e-01 9.062500000000000000e-01 8.333333134651184082e-01 8.251934993642344729e-01
9.750000238418579102e-01 8.750000000000000000e-01 8.750000000000000000e-01 6.966909432100749644e-01
8.166666626930236816e-01 7.187500000000000000e-01 7.708333134651184082e-01 7.887829980000906627e-01
9.250000119209289551e-01 8.750000000000000000e-01 8.750000000000000000e-01 7.284292933866653996e-01
9.750000238418579102e-01 9.375000000000000000e-01 8.333333134651184082e-01 6.852821924930840858e-01
9.666666388511657715e-01 8.750000000000000000e-01 8.541666865348815918e-01 5.679299196083291701e-01
9.916666746139526367e-01 7.187500000000000000e-01 8.750000000000000000e-01 9.187152693570421746e-01
9.499999880790710449e-01 9.062500000000000000e-01 8.958333134651184082e-01 6.455272172546361320e-01
9.499999880790710449e-01 9.062500000000000000e-01 9.375000000000000000e-01 8.194824581453025170e-01
9.666666388511657715e-01 8.125000000000000000e-01 8.125000000000000000e-01 8.194063946326932690e-01
9.250000119209289551e-01 8.750000000000000000e-01 8.333333134651184082e-01 6.425215592919150120e-01
9.916666746139526367e-01 9.375000000000000000e-01 9.583333134651184082e-01 6.656646693161514250e-01
8.750000000000000000e-01 8.125000000000000000e-01 8.125000000000000000e-01 5.303075353047850271e-01
9.583333134651184082e-01 9.687500000000000000e-01 9.166666865348815918e-01 4.505720781282789300e-01
9.416666626930236816e-01 7.187500000000000000e-01 9.375000000000000000e-01 7.027374814676646819e-01
9.666666388511657715e-01 8.125000000000000000e-01 9.166666865348815918e-01 7.929133863406001570e-01
9.666666388511657715e-01 8.437500000000000000e-01 9.166666865348815918e-01 6.649145028516099121e-01
9.583333134651184082e-01 8.125000000000000000e-01 9.375000000000000000e-01 8.479502049491491888e-01
9.583333134651184082e-01 9.062500000000000000e-01 8.958333134651184082e-01 6.129786095396274614e-01
9.583333134651184082e-01 8.125000000000000000e-01 8.333333134651184082e-01 7.291705000818976545e-01
8.916666507720947266e-01 8.125000000000000000e-01 7.916666865348815918e-01 5.723338242980771096e-01
9.583333134651184082e-01 8.750000000000000000e-01 8.958333134651184082e-01 5.204659023614034430e-01
9.416666626930236816e-01 9.062500000000000000e-01 8.541666865348815918e-01 8.111618181274240502e-01
9.666666388511657715e-01 8.750000000000000000e-01 8.541666865348815918e-01 6.993055120279938475e-01
9.833333492279052734e-01 8.437500000000000000e-01 8.958333134651184082e-01 7.468482058526417777e-01
9.916666746139526367e-01 9.375000000000000000e-01 8.958333134651184082e-01 7.919537350739200843e-01
9.916666746139526367e-01 9.062500000000000000e-01 8.750000000000000000e-01 7.651445071854232616e-01
9.750000238418579102e-01 8.750000000000000000e-01 9.166666865348815918e-01 7.228803944517001590e-01
8.833333253860473633e-01 7.500000000000000000e-01 8.125000000000000000e-01 6.614806239249357844e-01
9.833333492279052734e-01 9.375000000000000000e-01 8.958333134651184082e-01 7.495456085849407923e-01
