# train_accs, valid_accs, test_accs, fidelity
9.583333134651184082e-01 9.375000000000000000e-01 8.750000000000000000e-01 8.133174585922768873e-01
9.750000238418579102e-01 8.750000000000000000e-01 8.333333134651184082e-01 8.352245473229680250e-01
9.583333134651184082e-01 9.062500000000000000e-01 8.750000000000000000e-01 7.820357379057367719e-01
8.583333492279052734e-01 7.812500000000000000e-01 8.541666865348815918e-01 8.753046835648118362e-01
7.833333611488342285e-01 6.875000000000000000e-01 7.291666865348815918e-01 8.551235107807435565e-01
9.916666746139526367e-01 9.375000000000000000e-01 8.541666865348815918e-01 8.538960121035468198e-01
9.750000238418579102e-01 9.375000000000000000e-01 9.166666865348815918e-01 6.871548140910771485e-01
9.333333373069763184e-01 8.750000000000000000e-01 9.375000000000000000e-01 7.186937004639812887e-01
9.666666388511657715e-01 9.375000000000000000e-01 8.958333134651184082e-01 8.128689741789425494e-01
8.999999761581420898e-01 6.562500000000000000e-01 8.125000000000000000e-01 9.114785394199953483e-01
9.833333492279052734e-01 8.750000000000000000e-01 8.541666865348815918e-01 8.472720844085908087e-01
9.499999880790710449e-01 9.375000000000000000e-01 1.000000000000000000e+00 7.680909573789007627e-01
9.499999880790710449e-01 8.750000000000000000e-01 9.166666865348815918e-01 9.056609577585101878e-01
9.499999880790710449e-01 8.125000000000000000e-01 9.583333134651184082e-01 8.337211480515005491e-01
9.583333134651184082e-01 8.437500000000000000e-01 8.750000000000000000e-01 8.011261565233500637e-01
7.666666507720947266e-01 7.187500000000000000e-01 8.125000000000000000e-01 6.285643305956027937e-01
9.833333492279052734e-01 8.750000000000000000e-01 8.958333134651184082e-01 8.066958904837369104e-01
9.250000119209289551e-01 9.375000000000000000e-01 8.958333134651184082e-01 8.713191258719497068e-01
9.666666388511657715e-01 9.062500000000000000e-01 8.750000000000000000e-01 8.732332592261207171e-01
9.750000238418579102e-01 8.750000000000000000e-01 8.750000000000000000e-01 8.492614946399766884e-01
9.750000238418579102e-01 8.750000000000000000e-01 8.750000000000000000e-01 8.552580281881951851e-01
9.750000238418579102e-01 8.437500000000000000e-01 9.166666865348815918e-01 7.638842812455858278e-01
9.499999880790710449e-01 8.437500000000000000e-01 8.750000000000000000e-01 7.826906192003717511e-01
9.583333134651184082e-01 8.125000000000000000e-01 8.958333134651184082e-01 8.058015163745410048e-01
9.499999880790710449e-01 8.437500000000000000e-01 8.541666865348815918e-01 8.517505859005938262e-01
9.250000119209289551e-01 8.125000000000000000e-01 8.333333134651184082e-01 8.183589272582219021e-01
