# train_accs, valid_accs, test_accs, fidelity
5.833333134651184082e-01 5.625000000000000000e-01 6.875000000000000000e-01 4.281263144208941052e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 5.095173677632982567e-01
9.916666746139526367e-01 9.687500000000000000e-01 9.375000000000000000e-01 6.057454559933097560e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.641371614298102299e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 5.625603020544760469e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.552457594887314718e-01
9.583333134651184082e-01 8.750000000000000000e-01 9.375000000000000000e-01 6.783333413730272543e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 6.876068204333417588e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 4.895652276085176169e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.283872609250867658e-01
9.750000238418579102e-01 8.750000000000000000e-01 1.000000000000000000e+00 4.492578403002733811e-01
9.833333492279052734e-01 9.687500000000000000e-01 1.000000000000000000e+00 4.058430721913598438e-01
9.666666388511657715e-01 9.687500000000000000e-01 9.791666865348815918e-01 6.612495474650074145e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.558499819492715766e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.468651479755772371e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.772322789647846619e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.302198348518605275e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.899082645579662998e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.829735190628619668e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 4.753618639996363138e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.583333134651184082e-01 4.228584180821928218e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 4.259935982797500298e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.274053804415310243e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.743306354023266280e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.896644577883567662e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.367265321866921735e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.372058024826780187e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.926627958913835093e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.433775117843389957e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 2.825737115913399267e-01
5.416666865348815918e-01 5.000000000000000000e-01 5.833333134651184082e-01 8.093613431640647171e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 4.898801638475219766e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 6.631396404455238702e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.311895286552119400e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.427442338391085919e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.186828470574506245e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.176572124758062277e-01
9.916666746139526367e-01 1.000000000000000000e+00 9.791666865348815918e-01 6.380012845435381053e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 3.623107875289388602e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.888124549459826218e-01
9.916666746139526367e-01 1.000000000000000000e+00 9.791666865348815918e-01 4.248299614616819486e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 3.677688712983909758e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 7.104837589497301487e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.085404305996877650e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 3.721427306534017543e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.630850227612140380e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.553108059375187366e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 5.900647368293520101e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.316824046154469574e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.490996462713047865e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.781756351584452780e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.585842759857454487e-01
9.750000238418579102e-01 9.375000000000000000e-01 8.958333134651184082e-01 4.541369382511879493e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 6.128015089855394226e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.990363666100465334e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 2.515736521431304329e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.565669968185674499e-01
