# train_accs, valid_accs, test_accs, fidelity
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.207546089765598740e-01
6.083333492279052734e-01 5.625000000000000000e-01 5.625000000000000000e-01 9.153546108839751838e-01
5.833333134651184082e-01 5.312500000000000000e-01 5.000000000000000000e-01 9.404921762169932142e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 1.993967012438783160e-01
9.750000238418579102e-01 9.687500000000000000e-01 9.791666865348815918e-01 7.597441286251425119e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.104165526536259101e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.045462544720519027e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.642592756802464082e-01
9.499999880790710449e-01 9.375000000000000000e-01 9.375000000000000000e-01 7.725279876469679508e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.619635822886830168e-01
1.000000000000000000e+00 9.375000000000000000e-01 1.000000000000000000e+00 6.214954943236362661e-01
5.833333134651184082e-01 5.000000000000000000e-01 5.833333134651184082e-01 9.257732882232880822e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.101428693947297255e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.312512787529129588e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.597691602198625382e-01
9.583333134651184082e-01 9.687500000000000000e-01 1.000000000000000000e+00 7.992974157578677241e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.852799948472821701e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.842119810455040030e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.100960366887804964e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.106451984348691964e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.583333134651184082e-01 8.578812823755541661e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 6.197718011807522576e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 7.748299550921955436e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.009427607555045459e-01
7.500000000000000000e-01 8.125000000000000000e-01 7.708333134651184082e-01 8.184366421323574503e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.104294196034416142e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.237711966013448350e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.451957605726220457e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.674578558803556660e-01
1.000000000000000000e+00 9.375000000000000000e-01 9.791666865348815918e-01 6.635831048452680569e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.505556820709779142e-01
5.166666507720947266e-01 5.000000000000000000e-01 5.625000000000000000e-01 8.824979743826307788e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.272607294028701208e-01
9.583333134651184082e-01 9.375000000000000000e-01 9.583333134651184082e-01 8.230717620052978578e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.711377717611255012e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.960106940956984678e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.489973879680553726e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.655798696635428557e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.762462452481483588e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.522662164626707781e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.450793623229471585e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 8.061122700405154440e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 7.972205356131401022e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.933377067295038998e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.953299738181939249e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.583333134651184082e-01 7.701369755529833272e-01
9.916666746139526367e-01 1.000000000000000000e+00 1.000000000000000000e+00 7.219199791937813693e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 8.574353454907281957e-01
5.083333253860473633e-01 5.000000000000000000e-01 5.000000000000000000e-01 7.760592648317150566e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 6.907263479489306190e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.017906248849277162e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.332241469393884215e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.573003368528662405e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 5.175495488308314851e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.092249963875763008e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.098110365419714185e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.636119347049595607e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.060294973755302017e-01
6.166666746139526367e-01 5.625000000000000000e-01 5.416666865348815918e-01 8.760812232741770345e-01
9.916666746139526367e-01 1.000000000000000000e+00 1.000000000000000000e+00 6.688386577523345311e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.804524794254060760e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.413622048025605427e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.040493571252941507e-01
6.083333492279052734e-01 5.937500000000000000e-01 6.875000000000000000e-01 7.807126999372167031e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 3.471999921139951040e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.499156842567884729e-01
5.749999880790710449e-01 5.625000000000000000e-01 5.416666865348815918e-01 9.205084423422345008e-01
9.916666746139526367e-01 9.687500000000000000e-01 9.791666865348815918e-01 7.314076610230466624e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.752820447781587854e-01
9.833333492279052734e-01 9.687500000000000000e-01 9.583333134651184082e-01 7.320838998904837247e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.628849770819170484e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.454842295698673738e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 8.669510416720191959e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 7.868429979545539243e-01
